"","name","year","duration","rating","crew","gross","rank","genre","votes"
"1","The Shawshank Redemption","(1994)","142 min","9.3","
    Director:
Frank Darabont
                 | 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler
    ","$28.34M","#1","
Drama            ","2,816,712"
"2","The Godfather","(1972)","175 min","9.2","
    Director:
Francis Ford Coppola
                 | 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton
    ","$134.97M","#2","
Crime, Drama            ","1,962,995"
"3","The Dark Knight","(2008)","152 min","9.0","
    Director:
Christopher Nolan
                 | 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine
    ","$534.86M","#3","
Action, Crime, Drama            ","2,798,240"
"4","Schindler's List","(1993)","195 min","9.0","
    Director:
Steven Spielberg
                 | 
    Stars:
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall
    ","$96.90M","#6","
Biography, Drama, History            ","1,415,906"
"5","The Lord of the Rings: The Return of the King","(2003)","201 min","9.0","
    Director:
Peter Jackson
                 | 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
    ","$377.85M","#7","
Action, Adventure, Drama            ","1,928,839"
"6","The Godfather Part II","(1974)","202 min","9.0","
    Director:
Francis Ford Coppola
                 | 
    Stars:
Al Pacino, 
Robert De Niro, 
Robert Duvall, 
Diane Keaton
    ","$57.30M","#4","
Crime, Drama            ","1,332,721"
"7","12 Angry Men","(1957)","96 min","9.0","
    Director:
Sidney Lumet
                 | 
    Stars:
Henry Fonda, 
Lee J. Cobb, 
Martin Balsam, 
John Fiedler
    ","$4.36M","#5","
Crime, Drama            ","839,248"
"8","Pulp Fiction","(1994)","154 min","8.9","
    Director:
Quentin Tarantino
                 | 
    Stars:
John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis
    ","$107.93M","#8","
Crime, Drama            ","2,160,045"
"9","Fight Club","(1999)","139 min","8.8","
    Director:
David Fincher
                 | 
    Stars:
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
    ","$37.03M","#12","
Drama            ","2,251,546"
"10","The Lord of the Rings: The Fellowship of the Ring","(2001)","178 min","8.8","
    Director:
Peter Jackson
                 | 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
    ","$315.54M","#9","
Action, Adventure, Drama            ","1,956,063"
"11","Inception","(2010)","148 min","8.8","
    Director:
Christopher Nolan
                 | 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe
    ","$292.58M","#14","
Action, Adventure, Sci-Fi            ","2,483,613"
"12","Forrest Gump","(1994)","142 min","8.8","
    Director:
Robert Zemeckis
                 | 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field
    ","$330.25M","#11","
Drama, Romance            ","2,193,491"
"13","The Lord of the Rings: The Two Towers","(2002)","179 min","8.8","
    Director:
Peter Jackson
                 | 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
    ","$342.55M","#13","
Action, Adventure, Drama            ","1,739,473"
"14","Il buono, il brutto, il cattivo","(1966)","161 min","8.8","
    Director:
Sergio Leone
                 | 
    Stars:
Clint Eastwood, 
Eli Wallach, 
Lee Van Cleef, 
Aldo Giuffrè
    ","$6.10M","#10","
Adventure, Western            ","793,693"
